┌────────────┬───────────────────────┐
│    date    │ seven_days_moving_avg │
│    date    │        double         │
├────────────┼───────────────────────┤
│ 2013-12-13 │                  0.24 │
│ 2013-12-14 │                0.2343 │
│ 2013-12-15 │                0.2343 │
│ 2013-12-16 │                0.2343 │
│ 2013-12-17 │                0.2343 │
│ 2013-12-18 │                0.1314 │
│ 2013-12-19 │                0.0286 │
│ 2013-12-20 │                0.1014 │
│ 2013-12-21 │                0.0743 │
│ 2013-12-22 │                0.0743 │
│ 2013-12-23 │                0.0743 │
│ 2013-12-24 │                0.0743 │
│ 2013-12-25 │                0.0729 │
│ 2013-12-26 │                0.2443 │
│ 2013-12-27 │                0.1714 │
│ 2013-12-28 │                0.1714 │
│ 2013-12-29 │                0.1714 │
│ 2013-12-30 │                0.2186 │
│ 2013-12-31 │                  0.26 │
│ 2014-01-01 │                  0.26 │
│ 2014-01-02 │                0.1086 │
│ 2014-01-03 │                  0.16 │
│ 2014-01-04 │                  0.16 │
│ 2014-01-05 │                  0.16 │
│ 2014-01-06 │                0.1129 │
│ 2014-01-07 │                0.0871 │
│ 2014-01-08 │                0.1586 │
│ 2014-01-09 │                0.1457 │
│ 2014-01-10 │                0.0943 │
│ 2014-01-11 │                0.1486 │
│ 2014-01-12 │                0.1486 │
│ 2014-01-13 │                0.1486 │
│ 2014-01-14 │                0.1329 │
│ 2014-01-15 │                0.0714 │
│ 2014-01-16 │                0.0643 │
│ 2014-01-17 │                0.0643 │
│ 2014-01-18 │                0.0757 │
│ 2014-01-19 │                0.0786 │
│ 2014-01-20 │                0.0786 │
│ 2014-01-21 │                0.0786 │
│ 2014-01-22 │                0.0743 │
│ 2014-01-23 │                0.0743 │
│ 2014-01-24 │                0.0743 │
│ 2014-01-25 │                0.0086 │
│ 2014-01-26 │                0.0114 │
│ 2014-01-27 │                0.0114 │
│ 2014-01-28 │                0.0114 │
│ 2014-01-29 │                0.0057 │
│ 2014-01-30 │                0.0057 │
│ 2014-01-31 │                0.1729 │
│ 2014-02-01 │                0.1729 │
│ 2014-02-02 │                0.3714 │
│ 2014-02-03 │                0.3714 │
│ 2014-02-04 │                0.3714 │
│ 2014-02-05 │                0.3714 │
│ 2014-02-06 │                0.3857 │
│ 2014-02-07 │                0.2186 │
│ 2014-02-08 │                0.2186 │
│ 2014-02-09 │                0.0143 │
│ 2014-02-10 │                0.2686 │
│ 2014-02-11 │                0.3114 │
│ 2014-02-12 │                  0.33 │
│ 2014-02-13 │                0.3157 │
│ 2014-02-14 │                0.3157 │
│ 2014-02-15 │                0.3386 │
│ 2014-02-16 │                0.3757 │
│ 2014-02-17 │                0.1257 │
│ 2014-02-18 │                0.0957 │
│ 2014-02-19 │                0.0771 │
│ 2014-02-20 │                0.0771 │
│ 2014-02-21 │                0.0771 │
│ 2014-02-22 │                0.0543 │
│ 2014-02-23 │                0.0214 │
│ 2014-02-24 │                0.0171 │
│ 2014-02-25 │                0.0043 │
│ 2014-02-26 │                0.0043 │
│ 2014-02-27 │                0.0043 │
│ 2014-02-28 │                  0.01 │
│ 2014-03-01 │                  0.01 │
│ 2014-03-02 │                0.0057 │
│ 2014-03-03 │                0.0057 │
│ 2014-03-04 │                0.0057 │
│ 2014-03-05 │                0.0057 │
│ 2014-03-06 │                0.0057 │
│ 2014-03-07 │                   0.0 │
│ 2014-03-08 │                   0.0 │
│ 2014-03-09 │                  0.05 │
│ 2014-03-10 │                  0.05 │
│ 2014-03-11 │                  0.05 │
│ 2014-03-12 │                  0.05 │
│ 2014-03-13 │                  0.05 │
│ 2014-03-14 │                  0.05 │
│ 2014-03-15 │                  0.05 │
│ 2014-03-16 │                0.1314 │
│ 2014-03-17 │                0.1314 │
│ 2014-03-18 │                0.1314 │
│ 2014-03-19 │                0.1314 │
│ 2014-03-20 │                0.1314 │
│ 2014-03-21 │                0.1314 │
│ 2014-03-22 │                0.1314 │
│ 2014-03-23 │                   0.0 │
│ 2014-03-24 │                   0.0 │
│ 2014-03-25 │                0.0057 │
│ 2014-03-26 │                0.2643 │
│ 2014-03-27 │                0.3143 │
│ 2014-03-28 │                0.3371 │
│ 2014-03-29 │                0.3371 │
│ 2014-03-30 │                0.3371 │
│ 2014-03-31 │                0.3471 │
│ 2014-04-01 │                0.3714 │
│ 2014-04-02 │                0.1129 │
│ 2014-04-03 │                0.0629 │
│ 2014-04-04 │                0.1143 │
│ 2014-04-05 │                0.1629 │
│ 2014-04-06 │                0.1629 │
│ 2014-04-07 │                0.1529 │
│ 2014-04-08 │                0.1229 │
│ 2014-04-09 │                0.1229 │
│ 2014-04-10 │                0.1229 │
│ 2014-04-11 │                0.0486 │
│ 2014-04-12 │                0.1014 │
│ 2014-04-13 │                0.1086 │
│ 2014-04-14 │                0.1086 │
│ 2014-04-15 │                0.1086 │
│ 2014-04-16 │                0.1086 │
│ 2014-04-17 │                0.1086 │
│ 2014-04-18 │                0.1086 │
│ 2014-04-19 │                0.0086 │
│ 2014-04-20 │                0.0014 │
│ 2014-04-21 │                0.0014 │
│ 2014-04-22 │                0.0043 │
│ 2014-04-23 │                0.1357 │
│ 2014-04-24 │                0.1357 │
│ 2014-04-25 │                0.1357 │
│ 2014-04-26 │                0.1386 │
│ 2014-04-27 │                0.8486 │
│ 2014-04-28 │                0.8657 │
